customer_id,signup_date,initial_plan,internet_service,payment_method,acquisition_channel,cac
8012-SOUDQ,2020-06-01,Month-to-month,Fiber optic,Electronic check,referral,71.1
9420-LOJKX,2022-10-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,173.1
6575-SUVOI,2021-12-01,Month-to-month,DSL,Credit card (automatic),organic,36.06
7495-OOKFY,2023-05-01,Month-to-month,Fiber optic,Credit card (automatic),referral,59.51
4667-QONEA,2019-01-01,One year,DSL,Credit card (automatic),referral,59.57
1658-BYGOY,2022-07-01,Month-to-month,Fiber optic,Electronic check,organic,37.14
8769-KKTPH,2018-10-01,One year,Fiber optic,Credit card (automatic),paid_social,153.63
5067-XJQFU,2018-07-01,One year,Fiber optic,Electronic check,referral,74.38
3957-SQXML,2021-03-01,Two year,No,Credit card (automatic),paid_social,185.83
5954-BDFSG,2018-01-01,Two year,Fiber optic,Credit card (automatic),paid_search,161.91
0434-CSFON,2020-02-01,Month-to-month,Fiber optic,Electronic check,paid_search,166.62
1215-FIGMP,2019-01-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,142.27
0526-SXDJP,2018-01-01,Two year,DSL,Bank transfer (automatic),paid_search,132.28
0557-ASKVU,2022-07-01,One year,DSL,Credit card (automatic),organic,32.43
5698-BQJOH,2023-04-01,Month-to-month,Fiber optic,Electronic check,referral,65.23
5122-CYFXA,2023-10-01,Month-to-month,DSL,Electronic check,organic,53.65
8627-ZYGSZ,2020-02-01,One year,Fiber optic,Electronic check,referral,45.62
3410-YOQBQ,2021-06-01,Two year,DSL,Mailed check,organic,34.82
3170-NMYVV,2019-11-01,Two year,No,Bank transfer (automatic),paid_social,211.5
7410-OIEDU,2023-03-01,Month-to-month,Fiber optic,Mailed check,organic,41.61
2273-QCKXA,2023-12-01,Month-to-month,DSL,Mailed check,paid_search,131.97
0731-EBJQB,2019-09-01,One year,No,Electronic check,referral,62.1
1891-QRQSA,2018-09-01,Two year,Fiber optic,Bank transfer (automatic),paid_social,220.85
8028-PNXHQ,2018-11-01,Two year,No,Bank transfer (automatic),paid_search,131.72
5630-AHZIL,2023-10-01,Month-to-month,DSL,Bank transfer (automatic),organic,26.84
2673-CXQEU,2019-05-01,One year,Fiber optic,Electronic check,paid_social,140.97
6416-JNVRK,2020-03-01,One year,DSL,Credit card (automatic),paid_social,177.72
5590-ZSKRV,2023-05-01,Month-to-month,DSL,Mailed check,paid_social,194.2
0191-ZHSKZ,2021-07-01,Month-to-month,DSL,Electronic check,paid_search,99.13
3887-PBQAO,2020-04-01,One year,No,Credit card (automatic),organic,35.02
5919-TMRGD,2023-12-01,Month-to-month,Fiber optic,Electronic check,organic,36.49
8108-UXRQN,2023-02-01,Month-to-month,DSL,Electronic check,paid_social,212.54
9191-MYQKX,2023-06-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,150.27
9919-YLNNG,2020-07-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,36.66
0318-ZOPWS,2019-12-01,Two year,No,Bank transfer (automatic),paid_social,227.79
4445-ZJNMU,2023-04-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,161.75
4808-YNLEU,2021-02-01,One year,DSL,Bank transfer (automatic),paid_search,140.76
1862-QRWPE,2020-01-01,Two year,No,Bank transfer (automatic),referral,67.88
2796-NNUFI,2020-03-01,Two year,No,Mailed check,referral,62.62
3016-KSVCP,2021-08-01,Month-to-month,DSL,Mailed check,organic,33.93
4767-HZZHQ,2021-07-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,41.08
2424-WVHPL,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,191.04
7233-PAHHL,2018-07-01,Two year,DSL,Mailed check,referral,62.42
6067-NGCEU,2018-08-01,Month-to-month,Fiber optic,Credit card (automatic),referral,57.38
9848-JQJTX,2018-01-01,Two year,Fiber optic,Bank transfer (automatic),referral,57.82
8637-XJIVR,2023-01-01,Month-to-month,Fiber optic,Electronic check,paid_search,128.38
9803-FTJCG,2018-02-01,One year,DSL,Credit card (automatic),organic,54.99
0278-YXOOG,2023-08-01,Month-to-month,No,Mailed check,referral,45.6
3212-KXOCR,2019-09-01,Two year,No,Bank transfer (automatic),organic,38.37
4598-XLKNJ,2021-12-01,Month-to-month,Fiber optic,Electronic check,organic,38.31
6380-ARCEH,2023-12-01,Month-to-month,No,Mailed check,paid_social,166.47
3679-XASPY,2023-12-01,Month-to-month,No,Electronic check,paid_search,141.96
7123-WQUHX,2020-11-01,One year,Fiber optic,Bank transfer (automatic),referral,38.19
5386-THSLQ,2018-07-01,One year,DSL,Bank transfer (automatic),referral,76.42
3192-NQECA,2018-05-01,Two year,Fiber optic,Bank transfer (automatic),paid_social,230.68
6180-YBIQI,2023-08-01,Month-to-month,DSL,Mailed check,referral,50.07
6728-DKUCO,2018-01-01,One year,Fiber optic,Electronic check,paid_search,146.75
9750-BOOHV,2021-05-01,One year,DSL,Mailed check,paid_search,149.34
8597-CWYHH,2020-06-01,One year,Fiber optic,Mailed check,referral,62.91
2848-YXSMW,2018-01-01,Two year,No,Credit card (automatic),referral,37.16
0486-HECZI,2019-06-01,Month-to-month,Fiber optic,Electronic check,paid_search,186.79
4549-ZDQYY,2019-09-01,One year,DSL,Credit card (automatic),paid_social,208.29
5712-AHQNN,2020-06-01,Month-to-month,Fiber optic,Electronic check,organic,35.84
4846-WHAFZ,2020-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,251.33
5256-SKJGO,2018-09-01,Two year,DSL,Electronic check,organic,64.59
3071-VBYPO,2023-10-01,Month-to-month,Fiber optic,Electronic check,paid_search,119.22
9560-BBZXK,2021-01-01,Two year,DSL,Bank transfer (automatic),paid_social,201.46
5299-RULOA,2023-03-01,Month-to-month,Fiber optic,Electronic check,organic,55.52
8402-OOOHJ,2020-08-01,Two year,No,Mailed check,referral,61.96
9445-ZUEQE,2021-10-01,Month-to-month,Fiber optic,Credit card (automatic),paid_social,242.76
1091-SOZGA,2019-05-01,One year,Fiber optic,Credit card (automatic),organic,45.15
2928-HLDBA,2023-07-01,Month-to-month,No,Mailed check,paid_search,150.27
0404-SWRVG,2023-10-01,Month-to-month,Fiber optic,Electronic check,paid_search,158.56
6497-TILVL,2023-06-01,Month-to-month,DSL,Mailed check,referral,47.22
7219-TLZHO,2023-09-01,Month-to-month,No,Mailed check,paid_search,142.98
4622-YNKIJ,2021-04-01,Two year,Fiber optic,Electronic check,organic,46.6
4412-YLTKF,2021-10-01,Month-to-month,Fiber optic,Electronic check,organic,32.71
6734-PSBAW,2018-01-01,Two year,No,Bank transfer (automatic),referral,103.92
3930-ZGWVE,2023-12-01,Month-to-month,No,Mailed check,organic,38.18
2639-UGMAZ,2018-02-01,One year,DSL,Electronic check,referral,44.37
2876-GZYZC,2022-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,188.6
6207-WIOLX,2021-12-01,Month-to-month,DSL,Credit card (automatic),paid_search,135.02
8587-XYZSF,2018-06-01,Two year,DSL,Bank transfer (automatic),referral,45.17
3091-FYHKI,2023-12-01,Month-to-month,DSL,Electronic check,organic,41.75
2372-HWUHI,2023-11-01,Month-to-month,DSL,Electronic check,paid_social,229.46
7799-LGRDP,2020-06-01,Two year,No,Credit card (automatic),referral,73.67
7850-VWJUU,2022-02-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_social,223.18
3774-VBNXY,2018-09-01,Two year,No,Mailed check,referral,76.57
6217-KDYWC,2019-04-01,Two year,No,Mailed check,referral,28.13
0390-DCFDQ,2023-12-01,Month-to-month,Fiber optic,Mailed check,paid_social,235.86
3146-MSEGF,2018-01-01,Two year,DSL,Credit card (automatic),paid_search,114.94
4080-OGPJL,2023-05-01,Month-to-month,DSL,Electronic check,paid_search,125.89
1095-WGNGG,2018-12-01,Two year,Fiber optic,Bank transfer (automatic),referral,63.39
2636-SJDOU,2018-09-01,One year,Fiber optic,Credit card (automatic),paid_social,187.08
1131-QQZEB,2018-02-01,Two year,No,Bank transfer (automatic),referral,72.7
5716-EZXZN,2018-08-01,Two year,Fiber optic,Credit card (automatic),paid_social,215.71
6837-BJYDQ,2023-10-01,One year,No,Mailed check,organic,40.86
2135-RXIHG,2023-12-01,Month-to-month,DSL,Electronic check,referral,41.32
6440-DKQGE,2021-07-01,One year,DSL,Credit card (automatic),referral,69.78
3466-BYAVD,2022-10-01,Month-to-month,DSL,Mailed check,paid_social,190.09
3780-YVMFA,2023-05-01,Month-to-month,DSL,Electronic check,organic,31.27
3874-EQOEP,2023-06-01,Month-to-month,Fiber optic,Mailed check,paid_social,214.34
1679-JRFBR,2018-03-01,One year,Fiber optic,Credit card (automatic),paid_search,158.93
9073-ZZIAY,2018-11-01,Two year,DSL,Electronic check,paid_search,177.9
3077-RSNTJ,2023-07-01,Month-to-month,No,Mailed check,paid_search,124.31
6551-GNYDG,2022-11-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_social,241.94
9167-APMXZ,2022-03-01,Month-to-month,Fiber optic,Bank transfer (automatic),referral,51.71
2749-CTKAJ,2022-03-01,One year,No,Mailed check,referral,44.68
6371-NZYEG,2022-09-01,Two year,DSL,Mailed check,organic,32.03
7554-NEWDD,2023-03-01,Two year,No,Bank transfer (automatic),organic,44.74
8992-VONJD,2022-12-01,Month-to-month,DSL,Electronic check,organic,42.75
0867-MKZVY,2022-05-01,Month-to-month,Fiber optic,Electronic check,paid_social,325.22
4482-EWFMI,2023-11-01,Month-to-month,Fiber optic,Electronic check,paid_social,221.24
4648-YPBTM,2019-08-01,Two year,DSL,Bank transfer (automatic),organic,19.0
2907-ILJBN,2023-02-01,One year,No,Mailed check,paid_search,152.96
6345-FZOQH,2018-04-01,Two year,No,Mailed check,referral,54.34
3376-BMGFE,2023-09-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,154.18
5997-OPVFA,2018-01-01,Two year,DSL,Bank transfer (automatic),paid_search,166.58
3445-HXXGF,2019-03-01,Month-to-month,DSL,Electronic check,referral,52.69
1159-WFSGR,2022-09-01,Month-to-month,No,Electronic check,paid_social,245.21
7654-YWJUF,2020-06-01,One year,Fiber optic,Bank transfer (automatic),referral,38.84
1875-QIVME,2023-11-01,Month-to-month,Fiber optic,Electronic check,paid_search,147.19
6727-IOTLZ,2022-11-01,Two year,DSL,Mailed check,paid_search,152.21
0691-JVSYA,2019-08-01,One year,Fiber optic,Bank transfer (automatic),organic,40.59
5918-VUKWP,2021-05-01,One year,No,Bank transfer (automatic),organic,52.16
1744-JHKYS,2021-03-01,Month-to-month,No,Electronic check,referral,92.95
2656-FMOKZ,2022-10-01,Month-to-month,Fiber optic,Mailed check,paid_search,163.67
2070-FNEXE,2023-06-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_social,224.0
5947-SGKCL,2022-10-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,111.44
3712-PKXZA,2018-12-01,One year,No,Credit card (automatic),organic,33.36
6317-YPKDH,2023-12-01,Month-to-month,DSL,Bank transfer (automatic),paid_social,259.99
6582-OIVSP,2023-12-01,Month-to-month,DSL,Mailed check,paid_social,236.31
9367-WXLCH,2023-05-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_social,256.85
5524-KHNJP,2021-04-01,One year,DSL,Credit card (automatic),referral,52.78
1918-ZBFQJ,2022-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,232.56
1024-GUALD,2023-12-01,Month-to-month,DSL,Electronic check,organic,42.04
4827-USJHP,2022-05-01,Month-to-month,DSL,Mailed check,organic,25.42
8167-GJLRN,2023-10-01,Month-to-month,DSL,Electronic check,organic,47.86
0956-SYCWG,2022-12-01,One year,No,Electronic check,organic,28.75
8017-UVSZU,2020-09-01,Month-to-month,DSL,Credit card (automatic),organic,27.41
7100-FQPRV,2020-06-01,One year,DSL,Credit card (automatic),organic,36.58
2472-OVKUP,2023-07-01,Month-to-month,Fiber optic,Electronic check,paid_search,142.15
2984-RGEYA,2018-04-01,Two year,No,Bank transfer (automatic),organic,62.94
9680-NIAUV,2018-01-01,Two year,Fiber optic,Credit card (automatic),paid_search,96.22
2146-EGVDT,2019-02-01,Two year,No,Credit card (automatic),organic,33.7
2604-IJPDU,2022-05-01,Month-to-month,Fiber optic,Electronic check,paid_search,90.99
9178-JHUVJ,2022-01-01,Two year,No,Bank transfer (automatic),organic,27.31
6168-YBYNP,2019-02-01,Month-to-month,Fiber optic,Electronic check,referral,48.44
7255-SSFBC,2018-01-01,Two year,Fiber optic,Bank transfer (automatic),paid_social,304.59
3645-DEYGF,2023-12-01,Month-to-month,No,Mailed check,referral,72.31
9323-HGFWY,2021-10-01,One year,Fiber optic,Credit card (automatic),paid_social,268.57
8544-GOQSH,2022-11-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,120.1
3363-DTIVD,2018-02-01,Two year,Fiber optic,Electronic check,paid_search,101.95
7018-WBJNK,2022-12-01,Month-to-month,Fiber optic,Credit card (automatic),organic,44.22
9142-KZXOP,2020-05-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,153.79
7674-YTAFD,2021-04-01,One year,Fiber optic,Bank transfer (automatic),organic,41.94
6348-SNFUS,2018-01-01,Two year,DSL,Credit card (automatic),paid_social,160.08
1285-OKIPP,2023-12-01,Month-to-month,Fiber optic,Electronic check,paid_social,230.61
7825-ECJRF,2022-06-01,Month-to-month,Fiber optic,Electronic check,paid_social,222.81
1347-KTTTA,2018-09-01,One year,Fiber optic,Credit card (automatic),organic,55.95
7841-TZDMQ,2023-11-01,Month-to-month,DSL,Credit card (automatic),referral,58.49
4195-NZGTA,2023-12-01,Month-to-month,DSL,Electronic check,referral,79.46
7157-SMCFK,2018-12-01,Two year,No,Mailed check,organic,27.25
4709-LKHYG,2021-08-01,One year,No,Electronic check,paid_search,166.11
2504-DSHIH,2022-02-01,Month-to-month,Fiber optic,Electronic check,paid_search,133.22
0699-NDKJM,2019-04-01,Month-to-month,DSL,Bank transfer (automatic),referral,55.59
9286-BHDQG,2018-01-01,Two year,DSL,Credit card (automatic),paid_social,142.4
0230-WEQUW,2018-07-01,Two year,DSL,Bank transfer (automatic),paid_search,137.44
2040-LDIWQ,2018-08-01,Two year,DSL,Bank transfer (automatic),organic,24.06
6496-JDSSB,2023-05-01,Month-to-month,Fiber optic,Bank transfer (automatic),paid_search,135.03
9408-SSNVZ,2023-09-01,Month-to-month,Fiber optic,Electronic check,paid_social,189.75
4443-EMBNA,2018-02-01,Two year,No,Bank transfer (automatic),organic,36.6
6469-MRVET,2023-12-01,One year,No,Electronic check,paid_search,134.32
0742-MOABM,2023-09-01,Month-to-month,DSL,Mailed check,paid_search,144.36
5961-VUSRV,2023-01-01,One year,No,Bank transfer (automatic),paid_search,149.8
6778-JFCMK,2022-01-01,One year,DSL,Mailed check,organic,43.41
6341-JVQGF,2021-06-01,One year,DSL,Mailed check,paid_search,129.24
2232-DMLXU,2023-12-01,Month-to-month,DSL,Mailed check,paid_search,121.04
4811-JBUVU,2021-07-01,Month-to-month,Fiber optic,Credit card (automatic),paid_social,203.86
0945-TSONX,2020-02-01,Two year,DSL,Credit card (automatic),paid_social,194.22
2651-ZCBXV,2019-07-01,Two year,Fiber optic,Credit card (automatic),referral,64.81
3316-UWXUY,2019-11-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,127.77
8937-RDTHP,2023-12-01,Month-to-month,Fiber optic,Mailed check,paid_social,224.65
7083-MIOPC,2018-01-01,Two year,No,Credit card (automatic),paid_social,156.93
1984-GPTEH,2021-08-01,Month-to-month,No,Electronic check,organic,43.2
1251-KRREG,2023-11-01,Month-to-month,DSL,Mailed check,organic,50.33
0621-JFHOL,2023-03-01,Two year,DSL,Mailed check,paid_search,161.16
9903-LYSAB,2022-07-01,Month-to-month,Fiber optic,Electronic check,organic,25.05
0094-OIFMO,2023-02-01,Month-to-month,Fiber optic,Electronic check,paid_search,130.3
9227-UAQFT,2022-09-01,Two year,No,Mailed check,paid_social,246.38
7301-ABVAD,2018-01-01,Two year,DSL,Bank transfer (automatic),referral,60.96
6614-FHDBO,2018-01-01,Two year,Fiber optic,Bank transfer (automatic),organic,31.61
7576-ASEJU,2020-08-01,One year,DSL,Credit card (automatic),referral,62.05
9058-HRZSV,2018-08-01,Month-to-month,Fiber optic,Electronic check,paid_search,177.55
4522-AKYLR,2022-12-01,Month-to-month,DSL,Electronic check,organic,38.41
0221-WMXNQ,2023-09-01,Month-to-month,Fiber optic,Electronic check,referral,56.46
0303-UNCIP,2020-08-01,One year,DSL,Mailed check,organic,47.93
9947-OTFQU,2022-10-01,Month-to-month,Fiber optic,Electronic check,paid_search,134.8
0322-YINQP,2023-12-01,Month-to-month,DSL,Mailed check,paid_social,247.37
0959-WHOKV,2020-07-01,One year,Fiber optic,Electronic check,referral,58.01
4075-JFPGR,2019-10-01,One year,Fiber optic,Electronic check,referral,84.54
4629-NRXKX,2023-11-01,Month-to-month,Fiber optic,Electronic check,referral,49.43
9514-JDSKI,2023-12-01,Month-to-month,DSL,Electronic check,organic,44.36
3282-ZISZV,2021-05-01,One year,DSL,Credit card (automatic),organic,35.56
3675-YDUPJ,2023-03-01,Month-to-month,No,Mailed check,referral,51.43
4111-BNXIF,2018-06-01,Two year,DSL,Electronic check,referral,54.45
7017-VFHAY,2018-12-01,Two year,Fiber optic,Credit card (automatic),organic,29.69
6655-LHBYW,2019-11-01,One year,Fiber optic,Credit card (automatic),paid_search,175.43
4959-JOSRX,2023-11-01,Month-to-month,DSL,Credit card (automatic),paid_search,110.77
5046-NUHWD,2021-08-01,Month-to-month,DSL,Electronic check,organic,48.35
7273-TEFQD,2023-10-01,Month-to-month,DSL,Electronic check,organic,49.01
3606-TWKGI,2022-12-01,Month-to-month,Fiber optic,Electronic check,paid_search,123.39
7529-ZDFXI,2019-04-01,Month-to-month,Fiber optic,Electronic check,organic,66.3
7605-BDWDC,2021-06-01,Two year,DSL,Bank transfer (automatic),organic,37.96
1950-KSVVJ,2020-04-01,One year,Fiber optic,Mailed check,organic,55.62
0123-CRBRT,2018-12-01,Two year,DSL,Mailed check,organic,27.84
6292-TOSSS,2019-11-01,Two year,No,Bank transfer (automatic),paid_social,232.53
3197-ARFOY,2022-06-01,Month-to-month,Fiber optic,Mailed check,organic,34.37
6323-AYBRX,2019-02-01,Two year,No,Mailed check,referral,68.06
7014-ZZXAW,2018-02-01,Two year,No,Credit card (automatic),paid_social,208.51
4385-GZQXV,2022-09-01,Month-to-month,Fiber optic,Electronic check,paid_search,152.95
7633-MVPUY,2019-04-01,Two year,DSL,Electronic check,organic,33.06
6366-ZGQGL,2023-12-01,Month-to-month,DSL,Bank transfer (automatic),referral,65.54
4716-HHKQH,2022-05-01,Month-to-month,Fiber optic,Electronic check,paid_social,220.3
5940-AHUHD,2023-12-01,Month-to-month,Fiber optic,Mailed check,referral,73.49
6432-TWQLB,2023-08-01,Month-to-month,Fiber optic,Electronic check,paid_search,153.22
4484-GLZOU,2019-09-01,Month-to-month,Fiber optic,Electronic check,organic,35.16
3179-GBRWV,2022-04-01,Month-to-month,DSL,Bank transfer (automatic),paid_search,136.93
8645-KWHJO,2022-11-01,Month-to-month,DSL,Electronic check,paid_search,192.32
4130-MZLCC,2023-08-01,Month-to-month,DSL,Bank transfer (automatic),paid_social,203.77
0314-TKOSI,2023-07-01,Month-to-month,DSL,Mailed check,paid_search,142.69
8229-MYEJZ,2023-03-01,Month-to-month,DSL,Electronic check,referral,39.61
2080-SRCDE,2023-12-01,Month-to-month,No,Mailed check,organic,31.11
9577-WJVCQ,2018-05-01,Month-to-month,DSL,Mailed check,referral,63.43
9512-UIBFX,2022-07-01,Month-to-month,Fiber optic,Mailed check,paid_search,148.17
6202-DYYFX,2022-03-01,One year,Fiber optic,Credit card (automatic),organic,34.38
3808-HFKDE,2022-05-01,Month-to-month,DSL,Electronic check,organic,39.17
5583-SXDAG,2023-12-01,Month-to-month,Fiber optic,Electronic check,referral,56.94
3488-PGMQJ,2023-05-01,Month-to-month,Fiber optic,Electronic check,paid_search,126.53
3580-REOAC,2023-03-01,Month-to-month,DSL,Credit card (automatic),paid_social,260.43
7534-BFESC,2022-01-01,Month-to-month,Fiber optic,Electronic check,organic,35.29
3727-OWVYD,2021-02-01,One year,DSL,Mailed check,organic,46.17
2294-SALNE,2022-02-01,One year,Fiber optic,Mailed check,paid_search,182.61
4847-TAJYI,2023-07-01,Month-to-month,Fiber optic,Electronic check,paid_search,162.46
1563-IWQEX,2023-01-01,Month-to-month,No,Mailed check,paid_search,151.27
8203-XJZRC,2023-12-01,Month-to-month,No,Mailed check,paid_social,237.93
6556-DBKZF,2018-02-01,Two year,Fiber optic,Electronic check,paid_social,290.27
6851-WEFYX,2021-02-01,Month-to-month,Fiber optic,Electronic check,paid_social,207.23
2985-JUUBZ,2020-09-01,Month-to-month,DSL,Electronic check,paid_search,99.65
6390-DSAZX,2023-12-01,Month-to-month,Fiber optic,Mailed check,referral,55.3
0895-LMRSF,2022-02-01,One year,DSL,Bank transfer (automatic),paid_search,150.01
8098-LLAZX,2023-09-01,Month-to-month,Fiber optic,Electronic check,organic,38.88
8266-VBFQL,2023-09-01,Month-to-month,Fiber optic,Electronic check,paid_search,129.12
8181-YHCMF,2018-05-01,Two year,DSL,Credit card (automatic),paid_search,150.75
2240-HSJQD,2020-11-01,Month-to-month,Fiber optic,Mailed check,paid_search,163.85
1248-DYXUB,2019-09-01,Two year,No,Mailed check,referral,62.0
0265-EDXBD,2021-05-01,Month-to-month,Fiber optic,Electronic check,referral,30.26
4115-BNPJY,2021-08-01,Two year,DSL,Mailed check,referral,63.63
3167-SNQPL,2020-11-01,Month-to-month,Fiber optic,Electronic check,organic,39.69
4091-TVOCN,2020-01-01,One year,DSL,Credit card (automatic),paid_social,271.19
1098-TDVUQ,2023-12-01,Month-to-month,No,Bank transfer (automatic),referral,61.72
7277-OZCGZ,2022-03-01,Month-to-month,Fiber optic,Electronic check,referral,38.31
1557-EMYVT,2020-06-01,Two year,Fiber optic,Credit card (automatic),referral,58.15
2799-ARNLO,2023-08-01,Month-to-month,Fiber optic,Electronic check,paid_search,122.01
7563-BIUPC,2023-08-01,Month-to-month,Fiber optic,Electronic check,referral,82.62
5027-YOCXN,2019-10-01,One year,Fiber optic,Credit card (automatic),paid_social,199.9
3973-SKMLN,2018-02-01,Two year,No,Credit card (automatic),paid_social,214.17
2321-OMBXY,2020-11-01,One year,DSL,Credit card (automatic),referral,53.79
2840-XANRC,2022-01-01,Month-to-month,Fiber optic,Electronic check,organic,54.14
6745-JEFZB,2021-02-01,Month-to-month,Fiber optic,Credit card (automatic),paid_search,146.32
5020-ZSTTY,2019-07-01,One year,DSL,Bank transfer (automatic),paid_social,183.47
9880-TDQAC,2018-01-01,Two year,DSL,Electronic check,organic,42.79
8705-WZCYL,2023-12-01,Month-to-month,DSL,Electronic check,paid_search,162.95
7102-JJVTX,2023-04-01,One year,DSL,Mailed check,paid_social,238.59
8626-PTQGE,2018-04-01,Two year,DSL,Bank transfer (automatic),paid_social,218.09
4983-CLMLV,2019-09-01,Month-to-month,Fiber optic,Credit card (automatic),organic,41.22
5701-YVSVF,2023-02-01,Month-to-month,Fiber optic,Electronic check,organic,39.52
5804-LEPIM,2023-11-01,Month-to-month,Fiber optic,Electronic check,paid_social,242.02
5697-GOMBF,2021-09-01,Month-to-month,DSL,Electronic check,organic,40.32
2739-CACDQ,2022-08-01,Month-to-month,Fiber optic,Credit card (automatic),organic,45.32
