customer_id,signup_date,initial_plan,acquisition_channel,cac,country
RETAIL-12473,2011-06-01,n/a,referral,58.44,Germany
RETAIL-12474,2010-02-01,n/a,organic,36.14,Germany
RETAIL-12475,2010-10-01,n/a,referral,70.78,Germany
RETAIL-12476,2010-07-01,n/a,paid_social,183.78,Germany
RETAIL-12477,2010-03-01,n/a,paid_search,114.81,Germany
RETAIL-12478,2011-12-01,n/a,referral,59.88,Greece
RETAIL-12479,2011-11-01,n/a,organic,37.32,Germany
RETAIL-12480,2010-07-01,n/a,paid_social,158.3,Germany
RETAIL-12481,2010-04-01,n/a,referral,78.73,Germany
RETAIL-12482,2010-02-01,n/a,paid_social,286.32,Sweden
RETAIL-12483,2010-01-01,n/a,referral,49.44,Sweden
RETAIL-12484,2009-12-01,n/a,referral,62.84,Spain
RETAIL-12485,2010-06-01,n/a,paid_social,214.52,Sweden
RETAIL-12486,2010-10-01,n/a,paid_search,165.82,Sweden
RETAIL-12487,2009-12-01,n/a,paid_search,125.91,Sweden
RETAIL-12488,2011-09-01,n/a,referral,39.92,France
RETAIL-12489,2011-01-01,n/a,paid_social,226.01,France
RETAIL-12490,2009-12-01,n/a,referral,58.34,France
RETAIL-12491,2011-11-01,n/a,paid_social,228.45,France
RETAIL-12492,2010-11-01,n/a,organic,20.56,Germany
RETAIL-12493,2011-05-01,n/a,referral,50.11,France
RETAIL-12494,2010-05-01,n/a,referral,79.18,France
RETAIL-12495,2010-03-01,n/a,paid_social,294.04,Sweden
RETAIL-12496,2010-03-01,n/a,organic,47.64,Spain
RETAIL-12497,2010-01-01,n/a,paid_social,201.14,Germany
RETAIL-12498,2011-10-01,n/a,paid_search,124.09,Germany
RETAIL-12499,2010-05-01,n/a,paid_search,166.41,Germany
RETAIL-12500,2010-02-01,n/a,paid_search,145.16,Germany
RETAIL-12501,2011-01-01,n/a,paid_social,263.96,Germany
RETAIL-12502,2011-02-01,n/a,referral,70.49,Spain
RETAIL-12503,2010-05-01,n/a,referral,67.17,Spain
RETAIL-12504,2010-04-01,n/a,organic,31.87,Germany
RETAIL-12505,2010-10-01,n/a,organic,38.05,Italy
RETAIL-12506,2011-04-01,n/a,organic,35.29,France
RETAIL-12507,2010-05-01,n/a,paid_social,232.34,Spain
RETAIL-12508,2011-11-01,n/a,paid_social,215.94,France
RETAIL-12509,2011-02-01,n/a,organic,23.63,France
RETAIL-12510,2009-12-01,n/a,paid_search,172.1,Spain
RETAIL-12511,2010-10-01,n/a,referral,86.0,Greece
RETAIL-12512,2011-10-01,n/a,paid_search,103.66,Israel
RETAIL-12513,2011-08-01,n/a,paid_search,146.12,France
RETAIL-12514,2010-03-01,n/a,referral,80.34,Italy
RETAIL-12515,2010-12-01,n/a,paid_social,152.35,Italy
RETAIL-12516,2010-04-01,n/a,referral,70.13,Germany
RETAIL-12517,2011-06-01,n/a,paid_search,126.45,Germany
RETAIL-12518,2011-08-01,n/a,paid_search,132.75,Germany
RETAIL-12519,2010-08-01,n/a,organic,35.86,Germany
RETAIL-12520,2011-03-01,n/a,organic,21.91,Germany
RETAIL-12521,2011-07-01,n/a,referral,50.27,Germany
RETAIL-12522,2011-10-01,n/a,paid_search,92.41,Germany
RETAIL-12523,2009-12-01,n/a,paid_social,254.52,France
RETAIL-12524,2010-02-01,n/a,paid_search,162.53,Germany
RETAIL-12525,2009-12-01,n/a,organic,30.9,France
RETAIL-12526,2011-09-01,n/a,paid_social,194.64,Germany
RETAIL-12527,2010-06-01,n/a,paid_social,204.91,Germany
RETAIL-12528,2011-01-01,n/a,paid_social,229.57,Germany
RETAIL-12529,2010-06-01,n/a,referral,39.61,France
RETAIL-12530,2010-03-01,n/a,paid_social,224.86,Germany
RETAIL-12531,2010-01-01,n/a,organic,37.18,Germany
RETAIL-12532,2011-11-01,n/a,organic,40.28,France
RETAIL-12533,2009-12-01,n/a,organic,40.88,Germany
RETAIL-12534,2011-08-01,n/a,organic,38.95,Germany
RETAIL-12535,2011-06-01,n/a,organic,61.71,France
RETAIL-12536,2011-10-01,n/a,organic,44.68,France
RETAIL-12537,2010-10-01,n/a,paid_search,144.62,Sweden
RETAIL-12538,2010-11-01,n/a,organic,28.11,Spain
RETAIL-12539,2009-12-01,n/a,paid_search,115.16,Spain
RETAIL-12540,2009-12-01,n/a,organic,34.21,Spain
RETAIL-12541,2011-03-01,n/a,paid_search,106.29,Spain
RETAIL-12542,2010-03-01,n/a,organic,33.76,Spain
RETAIL-12543,2010-09-01,n/a,referral,59.58,Spain
RETAIL-12544,2011-11-01,n/a,paid_social,261.93,Spain
RETAIL-12545,2011-03-01,n/a,referral,54.98,Spain
RETAIL-12546,2011-09-01,n/a,paid_social,197.31,Spain
RETAIL-12547,2010-07-01,n/a,paid_search,118.05,Spain
RETAIL-12548,2011-06-01,n/a,paid_search,173.9,Spain
RETAIL-12549,2010-01-01,n/a,organic,38.56,USA
RETAIL-12550,2011-09-01,n/a,paid_search,137.02,Spain
RETAIL-12551,2010-12-01,n/a,organic,34.3,Spain
RETAIL-12552,2011-10-01,n/a,paid_social,227.38,Italy
RETAIL-12553,2010-10-01,n/a,paid_social,231.49,France
RETAIL-12554,2010-09-01,n/a,paid_social,222.41,Spain
RETAIL-12555,2010-01-01,n/a,organic,31.78,Spain
RETAIL-12556,2011-07-01,n/a,referral,50.87,Spain
RETAIL-12557,2009-12-01,n/a,referral,55.9,Spain
RETAIL-12558,2011-12-01,n/a,organic,56.82,USA
RETAIL-12559,2011-01-01,n/a,paid_search,131.28,Germany
RETAIL-12560,2011-07-01,n/a,paid_search,151.65,Germany
RETAIL-12561,2011-02-01,n/a,referral,36.65,Germany
RETAIL-12562,2010-09-01,n/a,paid_social,245.97,France
RETAIL-12563,2010-10-01,n/a,paid_search,139.81,Italy
RETAIL-12564,2011-03-01,n/a,organic,40.77,France
RETAIL-12565,2011-02-01,n/a,paid_search,145.24,Saudi Arabia
RETAIL-12566,2011-09-01,n/a,paid_social,212.32,Germany
RETAIL-12567,2010-02-01,n/a,organic,36.96,France
RETAIL-12568,2010-03-01,n/a,paid_search,157.84,Germany
RETAIL-12569,2011-04-01,n/a,paid_search,147.71,Germany
RETAIL-12570,2010-01-01,n/a,paid_search,161.18,Spain
RETAIL-12571,2011-08-01,n/a,organic,37.81,France
RETAIL-12572,2011-10-01,n/a,paid_search,110.26,Germany
RETAIL-12573,2010-08-01,n/a,paid_search,141.15,France
RETAIL-12574,2011-01-01,n/a,paid_social,264.9,France
RETAIL-12575,2010-07-01,n/a,paid_social,195.92,France
RETAIL-12576,2010-07-01,n/a,referral,81.05,Poland
RETAIL-12577,2009-12-01,n/a,paid_search,130.9,France
RETAIL-12578,2010-09-01,n/a,paid_social,169.64,Italy
RETAIL-12579,2011-09-01,n/a,paid_social,220.02,France
RETAIL-12580,2010-05-01,n/a,organic,38.17,Germany
RETAIL-12581,2011-10-01,n/a,organic,54.26,Germany
RETAIL-12582,2010-05-01,n/a,paid_search,142.25,Finland
RETAIL-12583,2009-12-01,n/a,organic,45.12,France
RETAIL-12584,2011-03-01,n/a,paid_search,138.66,Italy
RETAIL-12585,2010-12-01,n/a,paid_social,264.03,Germany
RETAIL-12586,2009-12-01,n/a,referral,43.9,Italy
RETAIL-12587,2011-12-01,n/a,organic,51.57,Finland
RETAIL-12588,2010-04-01,n/a,referral,50.51,Finland
RETAIL-12589,2010-01-01,n/a,paid_search,124.05,France
RETAIL-12590,2010-04-01,n/a,organic,15.0,Germany
RETAIL-12591,2010-10-01,n/a,referral,68.05,Italy
RETAIL-12592,2010-07-01,n/a,organic,43.6,Germany
RETAIL-12593,2011-05-01,n/a,paid_search,131.1,France
RETAIL-12594,2010-03-01,n/a,paid_social,202.91,Italy
RETAIL-12595,2010-07-01,n/a,referral,37.0,Germany
RETAIL-12596,2011-04-01,n/a,referral,73.02,Spain
RETAIL-12597,2011-03-01,n/a,referral,73.26,Spain
RETAIL-12598,2010-03-01,n/a,organic,50.93,France
RETAIL-12599,2010-05-01,n/a,organic,60.08,France
RETAIL-12600,2009-12-01,n/a,referral,55.58,Germany
RETAIL-12601,2010-10-01,n/a,referral,44.76,Germany
RETAIL-12602,2011-10-01,n/a,organic,40.64,France
RETAIL-12603,2011-11-01,n/a,paid_search,162.96,Germany
RETAIL-12604,2011-03-01,n/a,paid_search,126.14,France
RETAIL-12605,2010-09-01,n/a,organic,23.18,Germany
RETAIL-12606,2010-01-01,n/a,organic,46.24,Spain
RETAIL-12607,2011-10-01,n/a,paid_search,109.16,USA
RETAIL-12608,2010-10-01,n/a,organic,34.36,United Kingdom
RETAIL-12609,2009-12-01,n/a,organic,22.43,Germany
RETAIL-12610,2011-08-01,n/a,organic,34.16,Italy
RETAIL-12611,2011-10-01,n/a,organic,50.91,Italy
RETAIL-12612,2011-09-01,n/a,paid_social,198.88,Germany
RETAIL-12613,2009-12-01,n/a,organic,52.37,Germany
RETAIL-12614,2011-03-01,n/a,referral,53.3,Germany
RETAIL-12615,2009-12-01,n/a,paid_social,209.03,France
RETAIL-12616,2010-11-01,n/a,paid_search,154.32,France
RETAIL-12617,2011-11-01,n/a,organic,47.57,France
RETAIL-12618,2011-11-01,n/a,referral,33.82,Italy
RETAIL-12619,2010-05-01,n/a,paid_social,227.44,Germany
RETAIL-12620,2011-05-01,n/a,referral,79.64,France
RETAIL-12621,2010-02-01,n/a,paid_search,163.61,Germany
RETAIL-12622,2011-04-01,n/a,organic,29.88,Germany
RETAIL-12623,2010-01-01,n/a,paid_search,133.14,Germany
RETAIL-12624,2011-06-01,n/a,paid_search,142.91,France
RETAIL-12625,2010-04-01,n/a,paid_social,215.17,Germany
RETAIL-12626,2011-01-01,n/a,paid_search,119.23,Germany
RETAIL-12627,2011-07-01,n/a,referral,60.77,Germany
RETAIL-12628,2011-10-01,n/a,organic,65.53,Germany
RETAIL-12629,2010-10-01,n/a,referral,49.58,Sweden
RETAIL-12630,2011-10-01,n/a,paid_search,134.83,Finland
RETAIL-12631,2010-01-01,n/a,organic,28.67,Finland
RETAIL-12632,2010-05-01,n/a,organic,39.59,Germany
RETAIL-12633,2010-07-01,n/a,referral,47.15,Germany
RETAIL-12634,2010-06-01,n/a,paid_search,166.96,USA
RETAIL-12635,2010-09-01,n/a,paid_social,232.69,Germany
RETAIL-12636,2009-12-01,n/a,organic,25.92,USA
RETAIL-12637,2010-06-01,n/a,organic,53.54,France
RETAIL-12638,2010-03-01,n/a,paid_search,159.49,Sweden
RETAIL-12639,2010-03-01,n/a,paid_search,143.47,Sweden
RETAIL-12640,2011-09-01,n/a,paid_search,133.11,France
RETAIL-12641,2011-08-01,n/a,paid_social,159.58,Sweden
RETAIL-12642,2011-08-01,n/a,paid_social,275.49,Germany
RETAIL-12643,2010-04-01,n/a,paid_social,242.49,France
RETAIL-12644,2010-01-01,n/a,paid_search,99.92,Germany
RETAIL-12645,2010-02-01,n/a,referral,68.12,Germany
RETAIL-12646,2011-10-01,n/a,paid_search,147.6,USA
RETAIL-12647,2010-01-01,n/a,organic,44.83,Germany
RETAIL-12648,2010-01-01,n/a,paid_search,151.11,Germany
RETAIL-12649,2010-01-01,n/a,paid_search,165.73,Germany
RETAIL-12650,2011-12-01,n/a,paid_search,189.28,France
RETAIL-12651,2010-08-01,n/a,referral,81.29,France
RETAIL-12652,2010-10-01,n/a,referral,41.96,France
RETAIL-12653,2010-07-01,n/a,referral,51.86,Israel
RETAIL-12654,2011-02-01,n/a,organic,49.26,Germany
RETAIL-12655,2010-10-01,n/a,paid_social,190.49,France
RETAIL-12656,2010-05-01,n/a,referral,35.08,France
RETAIL-12657,2011-09-01,n/a,referral,69.58,France
RETAIL-12658,2011-11-01,n/a,referral,62.22,Germany
RETAIL-12659,2011-11-01,n/a,paid_search,149.14,France
RETAIL-12660,2011-11-01,n/a,referral,92.03,France
RETAIL-12661,2010-09-01,n/a,paid_social,270.93,Sweden
RETAIL-12662,2010-04-01,n/a,paid_social,237.71,Germany
RETAIL-12663,2010-02-01,n/a,referral,58.26,Germany
RETAIL-12664,2009-12-01,n/a,organic,41.28,Finland
RETAIL-12665,2010-02-01,n/a,paid_search,163.37,Germany
RETAIL-12666,2010-11-01,n/a,paid_social,274.52,Israel
RETAIL-12667,2011-10-01,n/a,organic,39.7,Finland
RETAIL-12668,2010-01-01,n/a,paid_search,112.59,Germany
RETAIL-12669,2011-03-01,n/a,paid_social,179.12,France
RETAIL-12670,2010-02-01,n/a,paid_social,281.27,France
RETAIL-12671,2010-04-01,n/a,organic,42.13,Germany
RETAIL-12672,2010-04-01,n/a,organic,21.5,France
RETAIL-12673,2010-11-01,n/a,paid_social,223.15,Germany
RETAIL-12674,2011-05-01,n/a,organic,50.33,France
RETAIL-12675,2010-05-01,n/a,organic,49.52,Italy
RETAIL-12676,2010-08-01,n/a,paid_search,169.46,Sweden
RETAIL-12677,2009-12-01,n/a,referral,53.82,France
RETAIL-12678,2010-01-01,n/a,paid_search,161.21,France
RETAIL-12679,2011-03-01,n/a,organic,36.47,France
RETAIL-12680,2011-08-01,n/a,paid_social,147.37,France
RETAIL-12681,2009-12-01,n/a,organic,40.27,France
RETAIL-12682,2009-12-01,n/a,paid_search,173.34,France
RETAIL-12683,2009-12-01,n/a,organic,43.4,France
RETAIL-12684,2011-05-01,n/a,referral,49.94,France
RETAIL-12685,2011-09-01,n/a,organic,56.1,France
RETAIL-12686,2010-12-01,n/a,referral,72.1,France
RETAIL-12687,2010-08-01,n/a,referral,36.89,Sweden
RETAIL-12688,2011-08-01,n/a,paid_search,156.5,Israel
RETAIL-12689,2011-08-01,n/a,referral,70.65,France
RETAIL-12690,2011-05-01,n/a,organic,44.73,France
RETAIL-12691,2010-10-01,n/a,paid_social,248.63,France
RETAIL-12692,2010-03-01,n/a,paid_social,210.63,France
RETAIL-12693,2010-07-01,n/a,paid_social,184.99,Germany
RETAIL-12694,2010-10-01,n/a,organic,40.83,France
RETAIL-12695,2010-02-01,n/a,referral,63.5,France
RETAIL-12696,2010-01-01,n/a,organic,35.32,Finland
RETAIL-12697,2011-06-01,n/a,organic,25.38,Sweden
RETAIL-12698,2010-04-01,n/a,organic,34.46,Germany
RETAIL-12699,2010-10-01,n/a,referral,52.82,Germany
RETAIL-12700,2011-05-01,n/a,organic,41.14,France
RETAIL-12701,2010-03-01,n/a,organic,37.9,Germany
RETAIL-12702,2011-11-01,n/a,paid_social,213.75,Germany
RETAIL-12703,2010-01-01,n/a,referral,47.19,Germany
RETAIL-12704,2011-06-01,n/a,organic,41.19,Finland
RETAIL-12705,2009-12-01,n/a,paid_search,151.06,Germany
RETAIL-12706,2010-01-01,n/a,organic,47.89,Finland
RETAIL-12707,2011-02-01,n/a,referral,74.98,France
RETAIL-12708,2009-12-01,n/a,organic,44.79,Germany
RETAIL-12709,2009-12-01,n/a,referral,86.44,Germany
RETAIL-12710,2011-05-01,n/a,paid_search,176.17,Germany
RETAIL-12711,2010-02-01,n/a,referral,53.67,Germany
RETAIL-12712,2009-12-01,n/a,referral,67.52,Germany
RETAIL-12713,2011-12-01,n/a,paid_search,123.76,Germany
RETAIL-12714,2009-12-01,n/a,paid_social,151.51,France
RETAIL-12715,2011-08-01,n/a,organic,43.19,Sweden
RETAIL-12716,2011-07-01,n/a,organic,47.01,France
RETAIL-12717,2010-04-01,n/a,organic,42.31,Greece
RETAIL-12718,2011-09-01,n/a,paid_social,242.54,France
RETAIL-12719,2011-10-01,n/a,paid_social,213.71,France
RETAIL-12720,2010-07-01,n/a,organic,40.14,Germany
RETAIL-12721,2010-08-01,n/a,paid_social,211.76,France
RETAIL-12722,2011-07-01,n/a,organic,45.15,France
RETAIL-12723,2011-10-01,n/a,referral,84.76,France
RETAIL-12724,2010-06-01,n/a,referral,51.19,France
RETAIL-12725,2010-05-01,n/a,paid_social,272.47,Italy
RETAIL-12726,2010-03-01,n/a,organic,23.18,France
RETAIL-12727,2010-02-01,n/a,referral,56.42,France
RETAIL-12728,2010-11-01,n/a,paid_search,155.78,France
RETAIL-12729,2011-08-01,n/a,organic,52.99,France
RETAIL-12730,2010-07-01,n/a,organic,27.57,Germany
RETAIL-12731,2010-03-01,n/a,referral,42.66,France
RETAIL-12732,2011-06-01,n/a,paid_social,222.76,France
RETAIL-12733,2010-01-01,n/a,paid_search,166.52,USA
RETAIL-12734,2010-11-01,n/a,paid_social,197.67,France
RETAIL-12735,2011-01-01,n/a,paid_search,120.85,France
RETAIL-12736,2011-01-01,n/a,paid_search,111.9,France
RETAIL-12737,2010-07-01,n/a,paid_social,187.23,France
RETAIL-12738,2010-12-01,n/a,paid_search,150.68,Germany
RETAIL-12739,2010-11-01,n/a,paid_search,143.13,United Arab Emirates
RETAIL-12740,2011-10-01,n/a,referral,57.9,France
RETAIL-12741,2010-06-01,n/a,organic,48.84,USA
RETAIL-12742,2010-03-01,n/a,paid_search,154.98,United Arab Emirates
RETAIL-12743,2011-07-01,n/a,organic,40.6,Unspecified
RETAIL-12744,2010-04-01,n/a,paid_social,219.3,Singapore
RETAIL-12745,2010-01-01,n/a,paid_search,155.86,United Kingdom
RETAIL-12746,2009-12-01,n/a,referral,58.84,United Kingdom
RETAIL-12747,2009-12-01,n/a,paid_social,259.87,United Kingdom
RETAIL-12748,2009-12-01,n/a,organic,51.55,United Kingdom
RETAIL-12749,2010-07-01,n/a,referral,54.05,United Kingdom
RETAIL-12750,2011-08-01,n/a,organic,40.83,Poland
RETAIL-12751,2010-09-01,n/a,paid_social,200.54,Brazil
RETAIL-12752,2011-09-01,n/a,paid_search,121.43,Norway
RETAIL-12753,2010-12-01,n/a,paid_social,184.08,Japan
RETAIL-12754,2011-02-01,n/a,organic,31.04,Japan
RETAIL-12755,2009-12-01,n/a,paid_social,254.75,Japan
RETAIL-12756,2011-09-01,n/a,paid_search,148.41,Japan
RETAIL-12757,2011-05-01,n/a,paid_search,167.7,Portugal
RETAIL-12758,2009-12-01,n/a,paid_social,223.64,Portugal
RETAIL-12759,2009-12-01,n/a,referral,49.48,Netherlands
RETAIL-12760,2010-09-01,n/a,referral,37.47,Netherlands
RETAIL-12761,2010-09-01,n/a,paid_search,131.53,Netherlands
RETAIL-12762,2011-11-01,n/a,paid_social,220.58,Portugal
RETAIL-12763,2010-12-01,n/a,referral,40.86,Japan
RETAIL-12764,2011-01-01,n/a,paid_search,133.26,Lebanon
RETAIL-12765,2010-03-01,n/a,organic,51.22,Netherlands
RETAIL-12766,2010-10-01,n/a,paid_search,112.72,Portugal
RETAIL-12767,2010-11-01,n/a,paid_search,160.15,Korea
RETAIL-12768,2010-09-01,n/a,organic,42.33,Korea
RETAIL-12769,2011-04-01,n/a,paid_search,187.84,Brazil
RETAIL-12770,2010-04-01,n/a,organic,41.68,Japan
RETAIL-12771,2010-08-01,n/a,paid_social,296.66,Portugal
RETAIL-12772,2011-10-01,n/a,referral,46.09,Portugal
RETAIL-12773,2010-05-01,n/a,referral,69.13,Portugal
RETAIL-12774,2010-06-01,n/a,paid_search,106.87,Netherlands
RETAIL-12775,2010-10-01,n/a,referral,52.75,Netherlands
RETAIL-12776,2010-02-01,n/a,paid_search,158.85,Portugal
RETAIL-12777,2010-09-01,n/a,organic,41.3,United Kingdom
RETAIL-12778,2010-04-01,n/a,paid_search,162.29,Netherlands
RETAIL-12779,2009-12-01,n/a,paid_search,126.63,Poland
RETAIL-12780,2010-04-01,n/a,paid_social,177.74,Netherlands
RETAIL-12781,2011-02-01,n/a,organic,50.51,Czech Republic
